CustomerID,Age,Location,TotalSpend,PurchasesCount
1001,56,West,1546,7
1002,46,West,1304,20
1003,32,East,239,9
1004,60,East,1298,1
1005,25,East,1458,8
1006,38,North,1450,7
1007,56,West,1356,18
1008,36,East,682,8
1009,40,East,677,1
1010,28,North,1022,11
1011,28,East,1818,18
1012,41,North,1332,23
1013,53,South,1432,10
1014,57,East,759,3
1015,41,South,1529,7
1016,20,North,1484,16
1017,39,West,698,16
1018,19,East,367,20
1019,41,North,1750,17
1020,61,West,1298,2
1021,47,West,1892,1
1022,55,South,1307,16
1023,19,North,733,12
1024,38,West,713,5
1025,50,East,1900,5
1026,29,East,1447,23
1027,39,South,1745,9
1028,61,West,1681,9
1029,42,North,1545,3
1030,44,East,1306,19
1031,59,West,1765,16
1032,45,West,1186,16
1033,33,South,1903,3
1034,32,East,1570,20
1035,64,East,491,24
1036,61,North,613,22
1037,20,East,1341,24
1038,54,North,1583,1
1039,24,East,1880,24
1040,38,South,1459,20
1041,26,East,1460,11
1042,56,North,1186,17
1043,35,North,1686,8
1044,21,South,1698,4
1045,42,East,1001,6
1046,31,East,1154,8
1047,26,South,748,20
1048,43,East,162,3
1049,19,East,51,16
1050,37,North,691,3
1051,45,East,269,18
1052,64,East,1639,14
1053,24,South,904,18
1054,61,South,1809,2
1055,25,West,1298,22
1056,64,North,434,3
1057,52,East,1476,16
1058,31,East,1711,9
1059,34,West,1203,4
1060,53,East,1126,1
1061,57,North,1757,4
1062,21,West,779,1
1063,19,North,1745,14
1064,23,West,1783,21
1065,59,West,1489,16
1066,21,South,296,20
1067,46,North,885,24
1068,35,East,1512,8
1069,43,East,252,7
1070,61,North,1257,3
1071,51,East,172,17
1072,27,East,450,1
1073,53,North,816,16
1074,31,West,343,12
1075,48,North,329,19
1076,32,West,1910,22
1077,25,East,933,23
1078,31,East,1683,22
1079,40,East,247,14
1080,57,South,1031,6
1081,38,West,1980,6
1082,33,South,1584,13
1083,62,South,801,19
1084,35,North,193,22
1085,64,South,658,8
1086,41,North,1274,2
1087,43,North,1197,21
1088,42,South,236,1
1089,62,West,1399,15
1090,58,West,513,1
1091,46,West,1422,5
1092,32,West,1844,16
1093,62,West,709,19
1094,18,South,813,4
1095,42,South,1004,3
1096,24,East,452,17
1097,26,West,1419,17
1098,41,South,1584,12
1099,18,East,196,14
1100,61,West,1221,21
